id,name
1,Brendan Fraser
2,Brett Granstaff
3,Leslie Nielsen
4,Martina Gedeck
5,Martin Sheen
6,Johnny Depp
7,Jeremy Renner
8,Jim Carter
9,Jack Nicholson
10,Robert Mitchum
11,Michael Boatman
12,Tom Papa
13,Jeff Bennett
14,Peter Fonda
15,Rex Harrison
16,Kristin Kreuk
17,Gregory Peck
18,Charles Martin Smith
19,John Leguizamo
20,Suk-kyu Han
21,Michael Douglas
22,Mel Gibson
23,Liam Neeson
24,Jonas Armstrong
25,Glenn Close
26,Jason Momoa
27,George Clooney
28,Basil Rathbone
29,James McAvoy
30,Arnold Schwarzenegger
31,Kirk Douglas
32,Matthew Broderick
33,Dominic Purcell
34,Jeffrey Dean Morgan
35,Tom Berenger
36,Tilda Swinton
37,Daryl Hannah
38,Evan Glodell
39,John Carlos Frey
40,Clint Eastwood
41,James Cromwell
42,Chris Evans
43,Jet Li
44,Karl Urban
45,Douglas Fairbanks
46,Akira Kubo
47,Rene Russo
48,Angela Lansbury
49,Tom Arnold
50,Jai Courtney
51,Jesse Bradford
52,Ben Stiller
53,Jackson Rathbone
54,Shia LaBeouf
55,Angelina Jolie
56,Oscar Dietz
57,Kevin Costner
58,Charlize Theron
59,Stig Henrik Hoff
60,Taylor Lautner
61,Booboo Stewart
62,Dan Chupong
63,Jenny Agutter
64,Harold Lloyd
65,Steve McQueen
66,Malcolm McDowell
67,Matthew Stoneman
68,Rose McGowan
69,Gerard Butler
70,Sylvester Stallone
71,Eihi Shiina
72,Aaron Kwok
73,Don Cheadle
74,Michael Caine
75,Shawn Andrews
76,Steven Yeun
77,Kun Chen
78,Burt Lancaster
79,Helen Slater
80,Jayden Yuan
81,Amy Schumer
82,Michael Randall
83,Matthew McConaughey
84,Robert Shaw
85,Joe Taslim
86,Kurt Russell
87,Elliott Gould
88,Henry Fonda
89,Jan Bijvoet
90,Paul Newman
91,Michael J. Fox
92,Ed Skrein
93,Dwayne Johnson
94,Geraldine Pailhas
95,Peter O'Toole
96,Hanyu Zhang
97,Sean Faris
98,Tom Cruise
99,Tom Hardy
100,Chadwick Boseman
101,John Travolta
102,Alan Young
103,Timothy Olyphant
104,Jim Carrey
105,Dominic Cooper
106,Cole Hauser
107,Jack Hawkins
108,Joseph Gordon-Levitt
109,Peter Sellers
110,Kristy Swanson
111,Billy Campbell
112,Burt Reynolds
113,Patrick Stewart
114,Ursula Andress
115,Claire Danes
116,Derek Luke
117,Raymond Briggs
118,Harvey Keitel
119,Steven Seagal
120,Christina Ricci
121,Dwight Yoakam
122,Jonathan Bennett
123,Sam Shepard
124,Rick Moranis
125,John Phillip Law
126,Jim Belushi
127,Tony Leung Chiu Wai
128,Daniel Mays
129,Maggie Grace
130,Nick Nolte
131,Sean Patrick Flanery
132,Owen Wilson
133,James Stewart
134,William Holden
135,Levi Miller
136,Joel Kinnaman
137,Grant Bardsley
138,Luke Halpin
139,Christian Slater
140,Jackie Chan
141,Paul Eenhoorn
142,Kathleen Turner
143,Joseph Fiennes
144,Jean-Claude Van Damme
145,Rod Taylor
146,Joe Anderson (VI)
147,Jet Lee
148,Sean Connery
149,Richard George
150,Jang Dong-gun
151,Frank Grillo
152,Aaron Eckhart
153,Andy Lau
154,Jason Statham
155,Chris Mark
156,Bruce Willis
157,Ginnifer Goodwin
158,Nicole Kidman
159,Pierce Brosnan
160,John Boyega
161,AnnaSophia Robb
162,Richard Pryor
163,Keira Knightley
164,Val Kilmer
165,Elvis Presley
166,Josh Wiggins
167,Melanie Griffith
168,Deborah Gibson
169,Ben Affleck
170,Kristofer Hivju
171,Denzel Washington
172,Dustin Hoffman
173,Frankie Muniz
174,Jack O'Connell
175,Luk Yee Fong
176,Chuck Norris
177,Brad Pitt
178,Michael Parks
179,Bobcat Goldthwait
180,Tyrese Gibson
181,Alex Winter
182,Wesley Snipes
183,Adrian Paul
184,John Cusack
185,Kristanna Loken
186,Gary Cooper
187,Tim Thomerson
188,Sanaa Lathan
189,Tom Hanks
190,Toshiro Mifune
191,Walter Matthau
192,Alexandre Rodrigues
193,Tony Jaa
194,Paul Rudd
195,Sean Penn
196,Eddie Murphy
197,Kate Beckinsale
198,Julien Ciamaca
199,Cecile Bagdadi
200,Jake Gyllenhaal
201,Mark Devlin
202,Rikki Gagne
203,Qi Shu
204,Chevy Chase
205,Laurence Fishburne
206,Donnie Yen
207,Ben Foster
208,Patricia Arquette
209,Rhona Mitra
210,Tcheky Karyo
211,Olivia Cooke
212,Celso Sebastian Franco Ferreira
213,Dennis Quaid
214,Stephen Dorff
215,Warren Beatty
216,Bill Bixby
217,Elijah Wood
218,Mi Yang
219,Timothy Dalton
220,Kelly Reno
221,Chiwetel Ejiofor
222,Maureen O'Hara
223,Rachel McAdams
224,Emilio Estevez
225,Li Hsiu-Hsien
226,Richard Burton
227,Sigourney Weaver
228,Rupert Friend
229,Robert Patrick
230,Sean Bean
231,Antonio Banderas
232,Christian Bale
233,Willie Nelson
234,Adam West
235,Maggie Cheung
236,Everlyn Sampi
237,Jon Voight
238,Jay Chou
239,Rory Calhoun
240,Ken Ogata
241,Shintar Katsu
242,Jesse Eisenberg
243,Evelyne Kraft
244,Joseph Garner
245,Ewan McGregor
246,Will Smith
247,Richard Farnsworth
248,Wagner Moura
249,Dylan O'Brien (II)
250,Tab Hunter
251,Adrian Pang
252,Jean Dujardin
253,Gabriel Byrne
254,Spencer Tracy
255,Christopher Walken
256,Nicholas Hoult
257,Matilda Anna Ingrid Lutz
258,Michael Angarano
259,Bud Abbott
260,Elizabeth Taylor
261,Vin Diesel
262,Paul Walker
263,Bruce Thomas
264,Xavier Samuel
265,Joel Edgerton
266,Scott Adkins
267,Teo Halm
268,Robert Redford
269,Kiefer Sutherland
270,John Garfield
271,Richard Widmark
272,Edward Furlong
273,Nicolas Cage
274,Kris Kristofferson
275,John Wayne
276,Kerwin Mathews
277,Jeff Goldblum
278,John C. Reilly
279,Peter Sallis
280,Song Kang-ho
281,Ray Winstone
282,Casper Van Dien
283,Livi Zheng
284,Neel Sethi
285,Patrick Shane Dorian
286,John Cena
287,Tyrone Power
288,James Fox
289,Li Gong
290,Anthony Wong
291,Yang Ik-Joon
292,Pl Sverre Hagen
293,Edward Burns
294,Ice Cube
295,Laurence Olivier
296,Jason Patric
297,Don Johnson
298,James Franco
299,Stu Bennett
300,Keanu Reeves
301,Melissa George
302,Jonathan Jackson
303,Tommy Lee Jones
304,Adewale Akinnuoye-Agbaje
305,Garret Dillahunt
306,America Ferrera
307,Mike Epps
308,Saif Ali Khan
309,Bill Paxton
310,Teddy Eccles
311,Edgar Bergen
312,Jeff Bridges
313,Ian McKellen
314,Ryan Phillippe
315,Jeremy Irons
316,Tom Hiddleston
317,Carrie-Anne Moss
318,LisaRaye McCoy
319,Sharlto Copley
320,Minnie Driver
321,Will Forte
322,Ethan Hawke
323,Hisashi Igawa
324,Tami Erin
325,Tony Goldwyn
326,Elias Koteas
327,Mario Van Peebles
328,Channing Tatum
329,Clifton Webb
330,Bruce Campbell
331,Natasha Henstridge
332,Lambert Wilson
333,Rodney Dangerfield
334,Jonathan Taylor Thomas
335,Eva Gabor
336,Rudy Ray Moore
337,James Garner
338,Cary Elwes
339,Iko Uwais
340,Samuel L. Jackson
341,Chris Carmack
342,Orgyen Tobgyal
343,Eric Bana
344,Thomas McHugh
345,Meredith Salenger
346,Willem Dafoe
347,Andrew Garfield
348,Minase Yashiro
349,Dick Durock
350,Jude Law
351,Eric Dane
352,Jim Sturgess
353,Ross Bagdasarian Jr
354,Jennifer Lawrence
355,Anton Yelchin
356,Luke Bracey
357,Martyn Ford
358,Imran Khan
359,H.B. Halicki
360,Fernando Colunga
361,Oliver Reed
362,Sam Worthington
363,Roger Moore
364,James Spader
365,Harrison Ford
366,Mary Stuart Masterson
367,Bob Hope
368,Kevin Bacon
369,Ryan Reynolds
370,Konstantin Khabenskiy
371,Adam Beach
372,Charlie Sheen
373,Alain Moussi
374,Rina Takeda
375,Gene Hackman
376,Bill Murray
377,Rutger Hauer
378,Alex Guiness
379,Philip Ng
380,Judd Nelson
381,Will Arnett
382,Saoirse Ronan
383,Gianna Jun
384,Paul Mantee
385,Freddie Highmore
386,Geena Davis
387,Edward Albert
388,Takeshi Kitano
389,Ringo Starr
390,Gwyneth Paltrow
391,Peggy Cummins
392,Maria Geelbooi
393,Kevin Sorbo
394,Omar Epps
395,Samantha Streets
396,Anthony Hopkins
397,Vince Vaughn
398,Petrus Khknen
399,Jason Robards
400,Tippi Hedren
401,Gal Gadot
402,Halle Berry
403,Shailene Woodley
404,Josh Hartnett
405,Humphrey Bogart
406,Robert John Burke
407,Chris Farley
408,Leonardo DiCaprio
409,Raquel Welch
410,Corbin Allred
411,Cornel Wilde
412,Warner Baxter
413,Tomer Sisley
414,Robin Shou
415,Salman Khan
416,Johnny Knoxville
417,Bill Nighy
418,Matt Bomer
419,Emma Roberts
420,Jacob Tierney
421,Hrithik Roshan
422,Barry Bostwick
423,Julie Strain
424,Alexander Michaletos
425,Pat Carroll
426,Dylan McDermott
427,Dirk Bogarde
428,Ray Milland
429,Robert De Niro
430,Fred Williamson
431,Jim Caviezel
432,Rinko Kikuchi
433,Bobby Campo
434,Ronald Colman
435,Richard Harris
436,Thure Lindhardt
437,Andy Samberg
438,Raymond Massey
439,Emily Browning
440,Kelly McGillis
441,Alden Ehrenreich
442,Adriano Carvalho
443,Patricia Clarkson
444,Jing Wu
445,Lance Guest
446,Ed Harris
447,Danny Glover
448,Barbara Crampton
449,Eriq Ebouaney
450,Al Pacino
451,Joel McCrea
452,Cameron Diaz
453,Victor Mature
454,Whoopi Goldberg
455,Joe Pesci
456,Charlton Heston
457,Colin Farrell
458,Angie Dickinson
459,William Powell
460,Tobey Maguire
461,Mickey Rourke
462,Milla Jovovich
463,David Carradine
464,Forest Whitaker
465,Chad Moffitt
466,Steven Strait
467,Rongguang Yu
468,Barry Pepper
469,Balthazar Getty
470,Matt Damon
471,Arnold Vosloo
472,Daniel Craig
473,Stphane Aubier
474,Alexis Bledel
475,Terry Moore
476,Kevin Conroy
477,Christopher Lambert
478,Tom Laughlin
479,Paul Gross
480,John Hurt
481,Amir Talai
482,Cary Grant
483,Adam Baldwin
484,Kal Penn
485,Sandra Bullock
486,Anthony Gonzalez (VIII)
487,Nicholas Tse
488,George Henare
489,Dan Aykroyd
490,Roddy McDowall
491,Edward Asner
492,Ralph Richardson
493,Kevin Kline
494,Bradley Gregg
495,Alan Arkin
496,Jennifer Lopez
497,Kenneth More
498,Charlie Hunnam
499,Jeff Daniels
500,Rashida Jones
501,Josh Brolin
502,Rapulana Seiphemo
503,Mila Kunis
504,Chris Pine
505,Jamie Foxx
506,Preeti Barameeanant
507,Patrick Floersheim
508,Charles Bronson
509,Danny Trejo
510,Hulk Hogan
511,Philip Glasser
512,Ben Winchell
513,Claudette Colbert
514,Michael York
515,Chuck Connors
516,Mimi Rogers
517,Matt Smith (XI)
518,Meg Ryan
519,Hugh Beaumont
520,Robert Downey Jr.
521,Kevin Bewersdorf
522,Kim Basinger
523,Cory McAbee
524,Jamie Lee Curtis
525,Don Francks
526,Clive Owen
527,Nas
528,Chartchai Ngamsan
529,Paul Sloan
530,Richard Dreyfuss
531,Ron Perlman
532,Dean Jones
533,Jessica Tandy
534,Ninetto Davoli
535,Koichi Yamadera
536,Hugh Jackman
537,Ralph Fiennes
538,Henry Rollins
539,Robert Culp
540,Murielle Varhelyi
541,Takashi Shimura
542,Bret Roberts
543,Simon Pegg
544,Alec Baldwin
545,Russell Crowe
546,Sophia Loren
547,Anne Hathaway
548,Mark Harmon
549,Reese Witherspoon
550,Dakota Fanning
551,Buster Keaton
552,Michelle Trachtenberg
553,Hailee Steinfeld
554,Daniel Radcliffe
555,Judy Garland
556,Abigail Breslin
557,Craig T. Nelson
558,Daniel Auteuil
559,Whip Hubley
560,Bruce Greenwood
561,Abhishek Bachchan
562,Pam Grier
563,William Shatner
564,Rachel Melvin
565,Kristen Stewart
566,Tukeshi Kaneshiro
567,Grard Depardieu
568,Travis Pastrana
569,Hank Azaria
570,Vegar Hoel
571,Jaden Smith
572,Elle Fanning
573,Evel Knievel
574,Jason Scott Lee
575,James Caan
576,James Franciscus
577,Ty Burrell
578,Hideaki Ito
579,William L. Petersen
580,Cloris Leachman
581,Alex Pettyfer
582,Sandra Bernhard
583,Julie Andrews
584,Thomas Jane
585,Jennifer Aniston
586,Ioan Gruffudd
587,Bokeem Woodbine
588,Charles Chaplin
589,Joe Maganiello
590,Colin Firth
591,George Calil
592,Georgie Henley
593,Damon Wayans
594,James Purefoy
595,Peter Weller
596,Maximilian Schell
597,Warwick Davis
598,Robert Duvall
599,Hiroki Hasegawa
600,Carla Gugino
601,Tim Allen
602,Richard Gere
603,Ayed Morrar
604,Viggo Mortensen
605,Manny Perez
606,Hyuk Jang
607,Ed Helms
608,Freddie Prinze Jr.
609,Koen De Bouw
610,Amanda Adrienne
611,Billy Bob Thornton
612,Marlon Brando
613,Kaniehtiio Horn
