movie_id,actor_id
1,1
1,1339
1,3885
1,43
1,5522
1,5950
10,10
10,2974
100,134
100,1993
100,387
100,7142
100,7739
100,90
1000,12700
1000,13576
1000,140
1000,159
1000,18211
1000,23760
10001,166
10001,1667
10001,2197
10001,32253
10001,7815
10001,9485
10002,1249
10002,15388
10002,2044
10002,20937
10002,32254
10002,6650
10003,13666
10003,2017
10003,3414
10003,52
10003,6762
10003,6943
10004,1529
10004,15389
10004,20938
10004,3909
10004,9841
10005,20939
10005,2497
10005,32255
10005,462
10005,833
10005,9842
10006,19064
10006,32256
10006,3684
10006,3732
10006,3840
10006,779
10008,12775
10008,20940
10008,25947
10008,2633
10008,499
10008,8225
1001,1121
1001,152
1001,29447
1001,4783
1001,69
1001,780
10010,15390
10010,169
10010,3494
10010,496
10010,6190
10010,7955
10013,32257
10013,3910
10013,4830
10013,5494
10013,6716
10013,8038
10015,15391
10015,19043
10015,3911
10015,5715
10015,8260
10015,9843
10016,1177
10016,1471
10016,15392
10016,227
10016,23
10016,32258
10018,1280
10018,1329
10018,3558
10018,3921
10018,52
10018,9844
10019,15393
10019,20941
10019,26533
10019,32259
10019,5848
10019,762
1002,227
1002,237
1002,23786
1002,4014
1002,54
1002,9446
10022,18212
10022,22085
10022,26534
10022,3423
10022,3912
10022,4597
10023,15394
10023,20942
10023,2781
10023,32260
10023,4007
10023,9691
10024,1079
10024,1468
10024,1495
10024,15395
10024,32261
10024,3607
10025,17116
10025,2645
10025,281
10025,3427
10025,5643
10025,7365
10026,15396
10026,20397
10026,22619
10026,23812
10026,3399
10026,736
10027,15397
10027,20943
10027,32262
10027,3467
10027,3638
10027,5542
10028,12103
10028,2362
10028,3913
10028,3934
10028,8077
10028,9604
10029,14929
10029,20944
10029,2403
10029,3796
10029,504
10029,9845
1003,1705
1003,2109
1003,23787
1003,29448
1003,361
1003,664
10032,1087
10032,2633
10032,386
10032,544
10032,7399
10032,7888
10034,15398
10034,17230
10034,32263
10034,6470
10034,922
10034,9846
10035,15399
10035,1788
10035,20945
10035,26535
10035,3914
10038,15264
10038,3915
10038,5456
10038,6831
10038,768
10038,819
10039,1061
10039,1279
10039,13622
10039,15241
10039,1556
10039,5437
1004,13261
1004,18212
1004,29449
1004,665
1004,7084
1004,7339
10040,111
10040,1461
10040,20946
10040,32264
10040,3916
10040,7341
10042,1324
10042,20947
10042,21980
10042,2479
10042,5429
10042,7297
10043,15400
10043,1953
10043,19913
10043,232
10043,32265
10043,8023
10045,2397
10045,258
10045,32266
10045,385
10045,419
10045,9666
10046,18349
10046,3768
10046,3917
10046,6937
10046,887
10046,9960
10047,1
10047,11900
10047,20857
10047,2642
10047,5091
10047,929
10048,20948
10048,2241
10048,26536
10048,32267
10048,3550
10048,611
10049,26537
10049,32268
10049,3918
10049,4161
10049,6555
10049,9847
1005,1116
1005,130
1005,1406
1005,3768
1005,666
1005,9603
10050,10023
10050,12018
10050,1225
10050,3449
10050,3645
10050,5110
10052,103
10052,16717
10052,2294
10052,3647
10052,6164
10052,6962
10054,20949
10054,32269
10054,6647
10054,7903
10054,855
10054,963
10058,15045
10058,381
10058,3919
10058,617
10058,770
10058,9848
1006,12701
1006,14713
1006,23788
1006,3011
1006,3058
1006,667
