movie_id,director_id
1,1
1,7166
2,2
3,3
4,4
5,5
6,6
7,7
8,8
8,7167
9,9
10,10
11,11
12,12
12,7168
13,13
13,7169
13,8075
14,14
15,15
16,16
17,17
18,18
19,19
20,20
21,21
22,22
22,118
23,23
24,24
25,25
26,26
26,350
26,1846
26,7374
27,27
28,28
29,29
29,3191
30,30
31,31
32,32
33,33
33,497
34,34
35,35
36,36
37,37
38,38
38,2145
38,7137
39,39
40,40
41,41
42,42
43,43
44,44
45,45
46,46
46,889
47,16
48,47
49,48
50,49
51,50
52,51
53,52
54,53
55,54
56,55
57,56
58,57
59,58
60,59
61,60
62,61
63,62
64,63
65,64
66,65
67,66
68,67
68,7170
69,68
70,69
70,663
71,70
72,71
73,63
73,72
73,608
74,73
75,74
76,75
77,76
77,7171
78,77
79,60
80,78
81,79
82,80
83,81
84,82
85,83
86,84
87,85
88,86
89,87
90,88
91,89
92,90
93,91
94,92
95,93
96,94
97,28
98,95
99,96
100,97
101,98
102,99
103,100
104,101
105,102
106,103
106,7172
107,104
108,105
108,317
108,2182
108,3175
109,106
110,107
111,108
112,109
113,110
114,111
115,112
115,992
116,113
117,114
118,115
119,45
120,116
121,117
121,711
122,118
123,119
124,120
125,121
126,122
127,123
128,124
129,125
130,126
131,127
131,584
131,2660
132,128
132,1128
133,129
134,16
135,130
136,131
137,132
138,133
139,134
140,135
141,136
142,109
143,137
144,138
145,1
146,139
147,140
148,141
148,7173
149,109
149,142
150,69
151,143
152,144
152,296
153,145
153,1836
154,42
155,146
156,147
157,148
158,149
158,3498
159,98
160,150
161,151
162,50
163,152
164,153
165,154
166,155
166,1346
167,10
168,156
169,157
170,158
171,159
172,160
173,161
174,162
174,757
175,163
176,164
177,165
178,42
179,45
180,166
180,1875
180,8076
181,167
182,165
183,168
184,169
185,170
186,171
187,172
188,153
189,173
190,174
191,175
191,4247
192,176
193,177
193,7174
194,1
194,6674
195,178
196,179
197,180
199,181
200,182
201,183
202,184
