movie_id,writer_id
1,1
1,1783
2,2
2,8418
3,3
3,576
3,4544
3,8419
4,4
4,3524
5,5
5,3658
5,11665
6,6
7,7
8,8
8,7808
8,11666
9,9
9,858
10,10
10,561
11,11
12,12
12,7892
13,13
13,8420
13,11667
15,15
16,16
17,17
18,18
18,2178
18,6134
19,19
20,20
21,21
22,117
23,22
23,239
23,1418
23,8255
24,23
24,1090
25,24
26,25
26,2258
27,26
27,8421
28,27
29,28
30,29
31,30
31,1063
31,7865
31,12763
32,31
32,3787
32,8422
33,32
33,2254
33,11668
34,33
34,8423
35,34
35,1071
36,35
37,36
37,8424
38,37
38,8372
39,38
39,437
39,8975
40,39
41,40
42,41
42,1090
42,4264
43,42
44,43
45,44
45,1792
46,45
46,997
47,46
47,6638
47,8425
48,47
49,48
49,8426
50,49
50,2647
50,11669
51,50
51,8427
52,51
52,4038
53,52
54,53
55,54
55,1500
55,4558
55,11670
56,55
56,79
57,56
57,8428
57,11671
58,57
58,643
58,1632
59,58
59,114
60,59
61,60
62,61
63,62
63,8429
63,11672
64,63
64,8430
65,64
65,7874
66,65
66,8431
66,11673
67,66
68,67
68,8432
68,11674
69,68
70,69
70,6913
71,70
73,63
73,8433
74,71
75,72
75,8434
76,73
76,8435
76,11675
77,74
77,8436
77,11676
78,68
78,75
79,76
79,114
80,77
80,2367
80,8437
80,9311
81,78
82,79
83,80
83,8438
84,81
85,82
85,8439
86,83
86,8440
87,84
88,85
88,8441
89,86
90,87
91,88
91,1545
91,8442
91,11314
92,89
92,8443
93,90
94,91
95,92
95,8444
95,11677
96,17
96,93
97,94
97,6288
98,95
98,1424
99,96
99,8445
100,89
100,666
101,97
101,202
102,98
102,5166
103,99
103,978
104,100
104,8446
105,101
106,102
106,8447
106,9070
106,12764
107,103
108,104
108,566
108,1358
108,2382
108,3855
108,11678
109,105
109,2233
109,8448
110,106
110,2533
111,107
111,7725
112,108
112,910
112,11679
113,109
114,53
115,110
115,8449
116,111
117,112
117,1243
117,4198
118,113
118,8450
119,114
119,8451
120,115
121,116
121,782
121,2347
121,8452
122,117
122,3984
122,8375
122,9978
123,118
124,119
124,204
125,120
126,121
126,933
126,1040
126,4399
127,122
127,8453
127,11680
128,123
128,2778
128,8454
128,11681
129,124
129,891
129,8211
130,125
131,126
131,1298
131,4351
132,127
132,8455
134,128
134,164
135,129
137,130
138,131
138,8456
140,132
141,133
141,756
141,8457
142,134
142,8458
142,11682
142,12765
143,135
143,452
143,10106
144,136
145,137
145,8459
147,138
148,139
148,4169
148,11683
149,140
149,972
149,1002
149,3707
150,141
150,1063
150,11684
151,142
152,143
152,309
152,6954
152,8460
152,11685
153,144
153,782
153,9245
153,12766
154,114
155,145
157,146
157,1414
158,147
158,4323
159,148
159,348
159,1708
160,149
160,8461
161,150
161,296
162,151
163,152
163,8462
163,8845
164,153
165,154
166,155
167,156
167,561
168,157
168,8463
169,158
170,159
171,160
172,69
172,8464
173,161
173,8465
173,11682
173,12767
174,162
174,511
174,11686
175,163
176,164
177,165
178,166
179,167
179,1601
179,3969
180,168
180,8466
181,79
181,169
181,1024
182,165
183,170
183,790
183,5008
183,7028
184,171
184,731
184,8467
184,11687
185,172
185,8468
185,11688
185,12768
186,173
186,4431
186,8469
186,12769
187,174
187,1435
188,175
188,1930
189,176
189,901
190,177
190,8470
191,178
191,689
191,6934
192,179
192,3287
193,180
194,181
194,7783
194,10249
194,12672
195,182
195,343
195,829
196,183
197,184
199,58
199,185
199,8471
200,186
200,851
200,8472
200,12770
201,187
203,188
204,189
204,2267
204,8473
204,11689
205,190
205,889
205,1308
206,191
207,63
207,7089
208,192
209,193
209,8474
209,11690
210,194
210,718
211,195
